,action_0_ratio,action_1_ratio,action_2_ratio,action_3_ratio,action_4_ratio,false_positives,false_negatives,mismatch_errrors,cost_penalty,approx_kl
0,0.22201854647401337,0.18212206167780892,0.22546905326719863,0.17802458486090145,0.19236575372007764,2900.0,36751.0,27368.0,2283.529392540455,0.00046619377098977566
1,0.22699319130243795,0.1825170217439051,0.23248407643312102,0.17450032945310784,0.18350538106742806,2839.0,36851.0,28211.0,2233.4156166017056,-0.000569821975659579
2,0.2260528038402793,0.17193977743835914,0.23510800785511674,0.18066768492253982,0.186231725943705,2859.0,36812.0,27632.0,2261.823055267334,-0.0016559354262426496
3,0.21464593401975204,0.18985080899348603,0.2379701617986972,0.1740911956293339,0.18344189955873083,2992.0,36594.0,27162.0,2355.7592677176,-0.002325944136828184
4,0.22636039250669046,0.19201605709188224,0.21933541480820695,0.17774308652988402,0.1845450490633363,2739.0,36896.0,27461.0,2212.1202255785465,-0.003743415931239724
5,0.21891399807218592,0.19021098854021634,0.23487201456570633,0.16718432044553924,0.18881867837635213,2937.0,36720.0,27729.0,2277.3151279985905,-0.004479953087866306
6,0.207915729187973,0.20116588259357743,0.24371037021885866,0.16220085907138473,0.18500715892820618,3044.0,36387.0,26304.0,2400.9398517906666,-0.005160165019333363
7,0.21336298178737823,0.183714527742482,0.23941126641253707,0.17100804743752648,0.19250317662007624,2918.0,36588.0,27064.0,2301.4309518039227,-0.005947988945990801
8,0.21203646157033354,0.18292935570747876,0.2412471514398177,0.17412471514398176,0.18966231613838824,3084.0,36556.0,26920.0,2393.4158659279346,-0.007446459960192442
9,0.2102191275855007,0.18175302068400573,0.23458939176735613,0.1772475936924022,0.1961908662707352,2994.0,36347.0,26204.0,2466.939758360386,-0.008059551008045673
10,0.2053166851273789,0.18286174604772934,0.2434800120833753,0.16242070284966267,0.2059208538918538,3011.0,36201.0,26455.0,2473.6700361669064,-0.00949863065034151
11,0.19867352999406057,0.18135022767768758,0.25311819441694716,0.1747178776479905,0.1921401702633142,3097.0,36121.0,25750.0,2511.9233183264732,-0.00956689566373825
12,0.20022013207924755,0.1875125075045027,0.23894336601961177,0.17180308184910947,0.20152091254752852,3049.0,36173.0,25812.0,2485.225860387087,-0.011411687359213829
13,0.19642333626502492,0.18801915371836217,0.2459689240691879,0.16710642040457344,0.20248216554285156,3146.0,36037.0,25743.0,2512.334491431713,-0.012195747345685959
14,0.20156854756569567,0.18873497657364025,0.25015278060704826,0.1604196374006926,0.1991240578529232,3107.0,36414.0,26461.0,2473.2613686919212,-0.013368788175284863
