x1cam1,y1cam1,x2cam1,y2cam1,frame,id,x_gp3,y_gp3,absolute_diff_x,absolute_diff_y
22.1117640236609,80.1302259842935,24.2378597866026,71.4940451474169,500,0,22.1117640236609,71.4940451474169,2.1260957629416986,8.636180836876605
26.2083315332684,42.6779348827503,31.75150743959361,37.798650887857,500,1,26.2083315332684,37.798650887857,5.54317590632521,4.879283994893299
25.8661712764858,23.462974953500904,33.372756620906,28.358303530850403,500,2,25.8661712764858,23.462974953500904,7.506585344420202,4.895328577349499
27.010679065659502,26.233670216130704,34.0200549004538,24.449964336078,500,3,27.010679065659502,24.449964336078,7.009375834794298,1.783705880052704
37.2969273559358,43.9836079751054,43.9742814415665,48.0495078571804,500,4,37.2969273559358,43.9836079751054,6.6773540856306965,4.065899882075001
41.5301928984816,40.2450858589889,41.3635551309276,34.7147150086164,500,5,41.3635551309276,34.7147150086164,0.1666377675540005,5.530370850372499
46.869257802131,5.3896048073312,51.109408892506,12.5709443059839,500,6,46.869257802131,5.3896048073312,4.240151090375001,7.1813394986527
55.032353152079104,42.52570831328831,60.719644823963705,43.176423362810304,500,7,55.032353152079104,42.52570831328831,5.687291671884601,0.6507150495219918
55.1950592371488,43.5006731078529,62.83158753419471,43.6639429856167,500,8,55.1950592371488,43.5006731078529,7.636528297045913,0.16326987776380264
66.2429262811429,53.7354834388245,66.8930192365688,61.53557637994629,500,9,66.2429262811429,53.7354834388245,0.6500929554259045,7.80009294112179
68.0316034462957,26.7545932798094,76.15895216340331,30.1690891339681,500,10,68.0316034462957,26.7545932798094,8.127348717107608,3.4144958541587016
75.83716533282562,73.08983806885371,77.2986854045177,69.6718843967593,500,11,75.83716533282562,69.6718843967593,1.4615200716920782,3.417953672094413
82.98475767363341,58.93957179873851,85.26002305808652,51.9504157285988,500,12,82.98475767363341,51.9504157285988,2.2752653844531068,6.989156070139714
86.7319098721227,65.12275195092431,88.19573200640261,63.4969514312948,500,13,86.7319098721227,63.4969514312948,1.4638221342799085,1.6258005196295144
85.37070953279121,43.8004035947019,94.6457590214751,41.671463930107,500,14,85.37070953279121,41.671463930107,9.27504948868389,2.1289396645948955
86.2387984712237,58.4534921986484,94.2191533791507,59.2716967574956,500,15,86.2387984712237,58.4534921986484,7.980354907926994,0.8182045588471993
88.8416174327541,54.8775726711775,91.28910254021032,62.5233462681529,500,16,88.8416174327541,54.8775726711775,2.4474851074562167,7.645773596975403
92.09958349371112,40.731533769497005,99.4340700651565,40.727561195245904,500,17,92.09958349371112,40.727561195245904,7.334486571445382,0.00397257425110098
94.38922665824232,67.0834364836678,98.14734593939453,74.5799587631614,500,18,94.38922665824232,67.0834364836678,3.7581192811522044,7.496522279493604
96.1725885640365,42.19343981035421,101.22591160775902,47.235291260888005,500,19,96.1725885640365,42.19343981035421,5.053323043722514,5.041851450533798
93.89523041093533,35.6873020108847,93.732699595868,35.1992792483532,500,20,93.732699595868,35.1992792483532,0.1625308150673277,0.4880227625315001
95.86512922397502,22.9849617527389,102.713058893745,22.650781388454902,500,21,95.86512922397502,22.650781388454902,6.847929669769982,0.33418036428399844
102.222978434215,74.0960558904095,109.23459985588302,73.7769249666138,500,22,102.222978434215,73.7769249666138,7.011621421668025,0.3191309237956972
105.95725443824402,46.9092907172306,109.87557098626502,40.5595144645591,500,23,105.95725443824402,40.5595144645591,3.9183165480209965,6.3497762526714965
111.353549505936,72.9637966674883,116.07947028297502,74.26826358862391,500,24,111.353549505936,72.9637966674883,4.725920777039022,1.3044669211356137
22.091375210730803,80.17096256545081,25.359137817528804,71.49296328429891,501,0,22.091375210730803,71.49296328429891,3.2677626067980015,8.677999281151898
26.310624120914294,43.532440651808905,31.608913451588105,37.9206031173583,501,1,26.310624120914294,37.9206031173583,5.298289330673811,5.611837534450608
25.5204981766552,24.317955359042102,33.719040782102404,28.236567173738607,501,2,25.5204981766552,24.317955359042102,8.198542605447205,3.9186118146965043
26.6645373151375,26.6405483246005,33.3063375915981,24.041791777892,501,3,26.6645373151375,24.041791777892,6.6418002764606,2.598756546708497
37.1135563534657,43.7802553831352,43.6691210432837,48.537149829255405,501,4,37.1135563534657,43.7802553831352,6.555564689818006,4.7568944461202065
41.0988557835922,34.6331466938693,42.5278213221379,41.0179807501134,501,5,41.0988557835922,34.6331466938693,1.4289655385457039,6.384834056244102
46.72674240286099,5.389492824351211,51.008060661898405,13.0193891375189,501,6,46.72674240286099,5.389492824351211,4.281318259037413,7.629896313167689
55.09320841383631,42.078857117600805,60.98365679678881,43.3389102383549,501,7,55.09320841383631,42.078857117600805,5.890448382952499,1.260053120754094
55.2154948808261,44.2724642301132,62.8112688264096,43.3796372343792,501,8,55.2154948808261,43.3796372343792,7.5957739455835025,0.8928269957339978
66.2632339007174,53.897940529567705,66.7508770014669,62.0639073754401,501,9,66.2632339007174,53.897940529567705,0.48764310074950856,8.165966845872397
68.9053262691111,26.9578989928971,77.7651922213743,29.4765859231268,501,10,68.9053262691111,26.9578989928971,8.859865952263206,2.518686930229702
77.0367890337067,73.17206706013029,78.2135778048694,69.7131962784515,501,11,77.0367890337067,69.7131962784515,1.1767887711627054,3.458870781678783
81.62270999038371,59.4672923476644,83.8159801307304,51.30006130393521,501,12,81.62270999038371,51.30006130393521,2.1932701403466837,8.167231043729188
89.4779652563127,63.4166842282565,84.7583961221668,65.1617627736074,501,13,84.7583961221668,63.4166842282565,4.7195691341459,1.745078545350907
84.4024963566326,43.00392441739881,94.0561161956075,41.861571249523,501,14,84.4024963566326,41.861571249523,9.653619838974905,1.1423531678758039
