x1cam1,y1cam1,x2cam1,y2cam1,frame,id,x_gp3,y_gp3,absolute_diff_x,absolute_diff_y
25.0626912271588,36.4915514085188,27.833961146905303,33.8887897576517,500,0,25.0626912271588,33.8887897576517,2.7712699197465014,2.6027616508671017
26.3546779822734,74.7502678853619,33.3660834833601,74.57917118394161,500,1,26.3546779822734,74.57917118394161,7.011405501086699,0.17109670142028222
27.9997596065479,37.144861517057,33.8736276510933,42.0303799771751,500,2,27.9997596065479,37.144861517057,5.8738680445454,4.885518460118099
31.7532146953138,40.4022965406861,33.3788363200143,34.0566638824767,500,3,31.7532146953138,34.0566638824767,1.6256216247005,6.345632658209404
35.8272523155876,59.4349747040077,43.31815771102711,61.8696550944208,500,4,35.8272523155876,59.4349747040077,7.490905395439512,2.4346803904130994
37.9402333346565,65.6168634457938,36.300477302484296,74.24959028944531,500,5,36.300477302484296,65.6168634457938,1.6397560321722011,8.632726843651511
56.65006214577821,23.4960022717649,59.5747313057688,17.1425241826568,500,6,56.65006214577821,17.1425241826568,2.924669159990593,6.353478089108101
58.1168476559568,66.7405550015726,62.82984575017949,70.4818731302908,500,7,58.1168476559568,66.7405550015726,4.712998094222684,3.7413181287181914
60.2324376783399,51.786216675352,66.7302276890106,51.94853811557621,500,8,60.2324376783399,51.786216675352,6.497790010670705,0.16232144022421124
60.06443339719471,75.8562270115935,62.17771967746141,79.27763396846201,500,9,60.06443339719471,75.8562270115935,2.113286280266699,3.421406956868509
67.7093090967943,8.33546302938181,71.4498098570458,16.001206515213802,500,10,67.7093090967943,8.33546302938181,3.740500760251507,7.665743485831992
67.7072784137921,76.18125669752409,74.5397611285448,79.28009678206301,500,11,67.7072784137921,76.18125669752409,6.8324827147527,3.098840084538921
69.65418822037441,47.7250955262826,75.17865409893611,53.0863102907137,500,12,69.65418822037441,47.7250955262826,5.524465878561699,5.361214764431097
70.6355393306602,18.2838537813313,78.9348945300636,16.159394537626802,500,13,70.6355393306602,16.159394537626802,8.299355199403408,2.1244592437044965
73.2393038817188,16.3264523512753,81.54173971114601,13.7109826808828,500,14,73.2393038817188,13.7109826808828,8.30243582942721,2.6154696703925
73.8802433635426,60.7240655302379,78.59804446997191,67.06895401258261,500,15,73.8802433635426,60.7240655302379,4.717801106429306,6.344888482344707
78.75648488996201,59.42534513101901,83.4710532313521,54.7131610823715,500,16,78.75648488996201,54.7131610823715,4.714568341390091,4.712184048647508
80.5480328459587,33.0947147736976,80.06162381505612,30.817457095197604,500,17,80.06162381505612,30.817457095197604,0.48640903090257837,2.2772576785
83.95824549722232,46.91196753407831,85.7500381166296,40.08430160386371,500,18,83.95824549722232,40.08430160386371,1.7917926194072749,6.8276659302146
85.75089926556751,38.4583177606178,90.8002882986387,35.201748803042,500,19,85.75089926556751,35.201748803042,5.0493890330711935,3.2565689575758014
87.70192772627311,54.551989598653904,90.4749839770234,62.8480684362553,500,20,87.70192772627311,54.551989598653904,2.7730562507502867,8.2960788376014
90.9579044001044,53.08971377022751,95.3566535079793,52.60305213912719,500,21,90.9579044001044,52.60305213912719,4.398749107874906,0.48666163110031846
98.2996185155651,32.1024549596706,102.222188959658,24.1176723136778,500,22,98.2996185155651,24.1176723136778,3.922570444092898,7.9847826459928015
106.620251346167,68.07335159512449,112.815294182869,62.86612473433439,500,23,106.620251346167,62.86612473433439,6.195042836702001,5.207226860790101
108.970138676729,26.916745723330298,110.040796446954,19.311196575897704,500,24,108.970138676729,19.311196575897704,1.0706577702250115,7.605549147432594
25.5320258389729,36.8581986359312,28.547263026912205,33.5231011785668,501,0,25.5320258389729,33.5231011785668,3.015237187939306,3.335097457364405
26.25139197893,76.0945694786344,33.0211535316704,73.39841093837711,501,1,26.25139197893,73.39841093837711,6.769761552740402,2.6961585402572865
33.4865769750485,42.3148988271278,28.223688846495204,36.65668320385691,501,2,28.223688846495204,36.65668320385691,5.262888128553296,5.658215623270891
31.610803230383706,40.89036312904351,33.3178141691192,34.1786842920104,501,3,31.610803230383706,34.1786842920104,1.7070109387354968,6.711678837033105
36.74426283053701,58.94627173584401,44.273877484108006,62.722940781717504,501,4,36.74426283053701,58.94627173584401,7.529614653570995,3.776669045873497
36.157924544351,74.2090415988536,38.6121808327764,65.7382598847405,501,5,36.157924544351,65.7382598847405,2.4542562884254053,8.470781714113102
59.2288979261436,16.816324467569,56.914674018666,24.106866679811404,501,6,56.914674018666,16.816324467569,2.3142239074776043,7.2905422122424035
57.9746583041829,66.6185987731448,63.5817141423879,70.0341841402677,501,7,57.9746583041829,66.6185987731448,5.6070558382049995,3.415585367122901
59.8872196760066,51.5425577842868,66.9942009124464,52.3546575818369,501,8,59.8872196760066,51.5425577842868,7.1069812364398,0.8120997975501041
60.24759862597111,75.2452803244928,62.6047216161566,79.0738007754173,501,9,60.24759862597111,75.2452803244928,2.357122990185495,3.8285204509245006
71.1444742099474,16.735018472663903,68.2180358449172,7.76424457028848,501,10,68.2180358449172,7.76424457028848,2.926438365030208,8.970773902375424
74.6820913631088,79.2394348205361,67.1990601188713,75.7739095337088,501,11,67.1990601188713,75.7739095337088,7.483031244237495,3.465525286827301
75.1988373794988,51.9490091778761,68.5779726099464,47.8469385856711,501,12,68.5779726099464,47.8469385856711,6.620864769552398,4.102070592205003
78.30418160672839,16.2006916733877,69.4361175389854,17.6322180823373,501,13,69.4361175389854,16.2006916733877,8.868064067742992,1.4315264089496011
81.52098786997502,14.118709979178602,73.01535858582761,16.774923714073,501,14,73.01535858582761,14.118709979178602,8.505629284147403,2.656213734894399
