,delta_t,batch_lengths,avg_return,actor_losses,critic_losses
43,1714379313.7035038,12805,-10.445708160313158,87.33307647705078,9928.6806640625
44,1714379349.913048,12928,-10.516218010121058,85.93370056152344,9856.2353515625
45,1714379388.456931,13206,-10.402486962555752,84.28368377685547,9440.421875
46,1714379421.6728141,13418,-10.104577688486362,81.59393310546875,8974.3681640625
47,1714379453.523883,13206,-10.134585616164431,81.89775848388672,8880.486328125
48,1714379486.0946891,14141,-9.80850923970067,75.72636413574219,7605.35302734375
49,1714379518.600228,14086,-9.956811792006654,74.91007995605469,7681.251953125
50,1714379550.995323,13905,-10.025328065288502,78.0123519897461,7977.72900390625
51,1714379583.915932,14274,-10.160685287140033,75.2532730102539,7737.3125
52,1714379616.7523708,14346,-9.998587269746528,72.91402435302734,7332.78857421875
53,1714379649.29811,14690,-9.764539885908047,70.57012939453125,7136.95751953125
54,1714379684.605727,14949,-9.71063309294569,69.87637329101562,6804.00244140625
55,1714379717.435231,15024,-9.660718203903325,68.30548095703125,6424.1484375
56,1714379750.33157,15024,-9.59102383733509,66.47161865234375,5958.8662109375
57,1714379783.831409,15124,-9.725362862652853,70.4340591430664,6900.6708984375
58,1714379820.7848792,15280,-9.557116589435738,65.63912200927734,6048.4853515625
59,1714379858.522505,15047,-9.763203054108669,68.8838882446289,6519.31005859375
60,1714379891.5755231,15408,-9.586745872649237,64.95964813232422,5782.8232421875
61,1714379924.126723,15590,-9.387387741219841,61.32666015625,5298.74853515625
62,1714379956.959717,15585,-9.448430805481397,63.302921295166016,5715.0146484375
63,1714379990.50683,16296,-9.323438074824804,58.832298278808594,5050.39501953125
64,1714380023.5899022,15930,-9.462760472812612,61.47030258178711,5303.20458984375
65,1714380056.338047,15929,-9.572951307044175,63.025508880615234,5691.90185546875
66,1714380089.710627,16327,-9.287227442412147,58.71151351928711,4922.705078125
67,1714380124.995754,16154,-9.453372363311212,62.16106414794922,5594.4921875
68,1714380157.673666,16157,-9.325770811434312,59.718265533447266,5327.60986328125
69,1714380191.240195,16287,-9.204382511067585,58.45024490356445,4971.86181640625
70,1714380224.265924,16566,-9.173714590365037,55.63631820678711,4742.66259765625
71,1714380257.637952,16750,-9.187212301522468,55.43873977661133,4648.23828125
72,1714380291.433326,16644,-9.180560303847098,55.366275787353516,4866.85498046875
73,1714380324.9363399,16759,-9.21994565668874,55.414005279541016,4527.505859375
74,1714380358.3721652,16636,-9.308782185012824,56.009403228759766,4738.42822265625
75,1714380392.241428,16899,-9.091550873968584,53.04351806640625,4258.0556640625
76,1714380426.761027,17079,-9.06242230302962,52.79294967651367,4202.27490234375
77,1714380459.9635148,16925,-9.088010144787575,53.16371536254883,4339.33544921875
78,1714380493.3957708,16963,-9.123110977873768,50.855995178222656,4038.544677734375
79,1714380526.524147,17035,-9.126501459340794,50.10300064086914,3926.22802734375
80,1714380560.191118,17388,-9.11057160436021,49.82261657714844,3821.966552734375
81,1714380594.0523362,17481,-9.020294929545193,49.99677658081055,4068.123291015625
82,1714380636.5772648,17177,-9.161927606927339,50.93622589111328,4181.86083984375
83,1714380673.6915991,17277,-8.920199872407508,49.40265655517578,3819.75390625
84,1714380710.6711848,17443,-9.07579532441955,49.5576171875,3844.984375
85,1714380744.704391,17872,-8.878536668992192,44.35145568847656,3254.028076171875
86,1714380779.9790258,17572,-8.977316662974468,47.34519958496094,3681.529541015625
87,1714380815.9192839,17854,-8.961491851713218,46.878787994384766,3639.8447265625
88,1714380850.105193,17763,-8.83048121329563,44.71599197387695,3363.604248046875
89,1714380886.255836,17789,-8.9634168715193,45.36058807373047,3470.92431640625
90,1714380921.3747652,18113,-8.889484756024313,45.1333122253418,3425.97998046875
91,1714380960.0788622,17950,-8.918541232694201,45.24079895019531,3494.654052734375
92,1714380994.897239,18364,-8.737101815171213,42.34468460083008,3150.21142578125
93,1714381030.201972,18379,-8.714066454964422,41.76130294799805,3114.47705078125
94,1714381064.195414,17916,-9.067138936152688,45.46754837036133,3581.75048828125
95,1714381104.028484,18642,-8.738059931218283,39.40729904174805,2875.587158203125
96,1714381145.476251,18201,-8.838514147271402,41.52155303955078,3006.719970703125
97,1714381185.6232388,18380,-8.807913199967526,40.613059997558594,2979.108154296875
98,1714381226.7407942,18397,-8.68910430744767,39.54038619995117,2884.033203125
99,1714381265.689717,18014,-8.84817990228454,41.058753967285156,3093.529541015625
